steps,episode_reward,episode_length,completed
70939,57.859922,120,True
71059,67.135443,120,True
71179,75.044006,120,True
71299,67.599179,120,True
71419,60.88161,120,True
71539,70.976647,120,True
71659,75.344485,120,True
71779,75.052379,120,True
71899,63.01971,120,True
72019,60.435844,120,True
72139,76.559021,120,True
72259,51.731666,120,True
72379,73.898725,120,True
72499,54.566245,120,True
72619,58.192864,120,True
72739,63.975465,120,True
72859,65.913262,120,True
72979,67.587066,120,True
73099,55.424183,120,True
73219,73.322252,120,True
73339,67.963359,120,True
73459,73.123042,120,True
73577,48.463769,118,False
73674,47.841956,97,False
73794,75.874465,120,True
73914,79.609145,120,True
74034,72.868629,120,True
74154,71.301301,120,True
74274,62.174302,120,True
74394,60.277436,120,True
74514,78.573411,120,True
74634,67.391002,120,True
74754,57.341557,120,True
74874,69.737498,120,True
74994,77.239928,120,True
75114,69.560954,120,True
75234,76.150362,120,True
75354,67.642429,120,True
75474,74.362365,120,True
75594,69.61987,120,True
75714,67.770853,120,True
75834,65.855448,120,True
75954,69.621992,120,True
76074,72.246326,120,True
76194,61.549391,120,True
76314,58.192326,120,True
76434,58.13739,120,True
76554,80.702767,120,True
76674,72.052478,120,True
76794,67.24146,120,True
76914,72.36391,120,True
77034,73.72991,120,True
77154,71.105004,120,True
77274,73.68062,120,True
77394,72.230201,120,True
77514,76.128915,120,True
77634,76.063223,120,True
77754,66.531688,120,True
77874,69.270215,120,True
77994,74.934615,120,True
78114,67.381985,120,True
78234,73.696973,120,True
78346,46.314114,112,False
78466,75.625452,120,True
78570,47.661225,104,False
78681,48.348884,111,False
78801,77.887762,120,True
78921,71.426951,120,True
79041,61.866588,120,True
79161,54.752752,120,True
79281,64.309607,120,True
79401,76.461583,120,True
79521,71.80662,120,True
79641,72.848627,120,True
79761,50.682084,120,True
79881,64.045315,120,True
80001,61.32587,120,True
80121,77.986069,120,True
80241,73.764173,120,True
80361,62.459115,120,True
80481,78.179724,120,True
80601,66.865013,120,True
80721,72.820917,120,True
80841,69.933901,120,True
80961,73.068663,120,True
81081,77.667557,120,True
81201,74.410585,120,True
81321,69.175046,120,True
81441,74.433296,120,True
81561,66.311114,120,True
81681,82.71135,120,True
81801,75.544215,120,True
81921,67.385385,120,True
82041,80.420165,120,True
82161,77.921059,120,True
82281,80.238081,120,True
82401,75.500112,120,True
82521,62.107899,120,True
82641,67.931716,120,True
82761,53.380199,120,True
82881,54.761432,120,True
82977,44.237074,96,False
83097,73.774795,120,True
83217,78.710472,120,True
83337,59.46161,120,True
83457,77.040869,120,True
83577,58.735236,120,True
83697,81.547434,120,True
83817,68.927471,120,True
83937,52.363757,120,True
84057,52.655316,120,True
84177,65.871767,120,True
84297,74.786991,120,True
84417,72.235281,120,True
84537,77.806541,120,True
84657,62.519067,120,True
84777,54.193257,120,True
84897,67.470147,120,True
85017,68.338904,120,True
85137,63.658323,120,True
85257,78.567298,120,True
85377,74.246405,120,True
85497,62.125386,120,True
85617,63.531604,120,True
85737,72.65233,120,True
85857,65.130487,120,True
85977,79.305527,120,True
86097,74.382924,120,True
86217,76.67398,120,True
86337,79.084818,120,True
86457,75.425259,120,True
86577,69.393155,120,True
86697,50.410929,120,True
86817,76.677647,120,True
86937,75.916861,120,True
87057,69.675231,120,True
87177,75.930774,120,True
87297,75.792297,120,True
87417,74.195488,120,True
87537,47.761753,120,True
87657,75.804899,120,True
87777,76.670967,120,True
87897,60.288458,120,True
88017,76.32657,120,True
88137,75.782591,120,True
88257,79.201774,120,True
88377,76.875957,120,True
88497,74.270266,120,True
88617,74.14198,120,True
88737,67.152064,120,True
88857,68.19537,120,True
88977,80.114404,120,True
89097,78.819354,120,True
89217,58.149863,120,True
89337,69.839178,120,True
89457,74.312419,120,True
89577,74.523341,120,True
89697,74.133266,120,True
89817,76.209967,120,True
89937,74.611335,120,True
90057,66.037193,120,True
90177,77.444185,120,True
90297,68.496309,120,True
90417,76.463956,120,True
90537,69.34733,120,True
90657,72.810303,120,True
90777,57.005223,120,True
90897,79.236879,120,True
91017,75.70846,120,True
91137,72.731159,120,True
91257,78.618455,120,True
91377,75.596544,120,True
91474,52.284028,97,False
91594,68.606862,120,True
91714,74.893216,120,True
91834,74.568514,120,True
91954,72.71714,120,True
92074,71.079129,120,True
