steps,task,ep_rew_mean,success
1010096,basketball,0.8595824782608694,0.0
1010096,driving,2.31034884375,1.0
1010096,aiming,0.69163696969697,0.6666666666666666
1012144,basketball,0.8537305609756094,0.0
1012144,driving,2.2774732,1.0
1012144,aiming,0.5901195172413793,0.5517241379310345
1014192,basketball,0.8339884193548386,0.0
1014192,driving,2.263419153846154,1.0
1014192,aiming,0.6215225588235295,0.5882352941176471
1016240,basketball,0.8373644090909091,0.0
1016240,driving,2.2511111212121215,1.0
1016240,aiming,0.46810933333333343,0.4166666666666667
1018288,basketball,0.8547086774193547,0.0
1018288,driving,2.253787733333333,1.0
1018288,aiming,0.6102738461538462,0.5769230769230769
1020336,basketball,0.859199114285714,0.0
1020336,driving,2.3720977037037043,1.0
1020336,aiming,0.6820091562500004,0.65625
1022384,basketball,0.8463160294117646,0.0
1022384,driving,2.280102653846153,1.0
1022384,aiming,0.6588894000000001,0.6285714285714286
1024432,basketball,0.8574993333333332,0.0
1024432,driving,2.26422764,1.0
1024432,aiming,0.6541947,0.625
1026480,basketball,0.8390475454545453,0.0
1026480,driving,2.285926214285715,1.0
1026480,aiming,0.6469125862068968,0.6206896551724138
1028528,basketball,0.8978764999999999,0.0
1028528,driving,2.3284255000000003,1.0
1028528,aiming,0.649207379310345,0.6206896551724138
1030576,basketball,0.9205825312499999,0.0
1030576,driving,2.199251392857143,1.0
1030576,aiming,0.5677304411764706,0.5294117647058824
1032624,basketball,0.8774882758620689,0.0
1032624,driving,2.2792583124999997,1.0
1032624,aiming,0.6475308965517244,0.6206896551724138
1034672,basketball,0.8733885675675676,0.0
1034672,driving,2.1652945384615387,1.0
1034672,aiming,0.559370090909091,0.5151515151515151
1036720,basketball,0.9013743428571429,0.0
1036720,driving,2.311958695652174,1.0
1036720,aiming,0.5890904210526319,0.5526315789473685
1038768,basketball,0.8893394999999997,0.0
1038768,driving,2.2817808620689655,1.0
1038768,aiming,0.7014895806451614,0.6774193548387096
1040816,basketball,0.8953894333333332,0.0
1040816,driving,2.193591896551724,1.0
1040816,aiming,0.6993583235294119,0.6764705882352942
1042864,basketball,0.9116806086956523,0.0
1042864,driving,2.233152142857143,1.0
1042864,aiming,0.5666385499999999,0.525
1044912,basketball,0.8520573076923076,0.0
1044912,driving,2.2373430625,1.0
1044912,aiming,0.7423249444444445,0.7222222222222222
1046960,basketball,0.8079718750000001,0.0
1046960,driving,2.3416178000000003,1.0
1046960,aiming,0.6298753,0.6
1049008,basketball,0.8180007407407408,0.0
1049008,driving,2.3586309354838715,1.0
1049008,aiming,0.7258838148148149,0.7037037037037037
1051056,basketball,0.862040607142857,0.0
1051056,driving,2.2937971666666668,1.0
1051056,aiming,0.5901475925925928,0.5555555555555556
1053104,basketball,0.7810214285714283,0.0
1053104,driving,2.3271035,1.0
1053104,aiming,0.7009802000000002,0.68
1055152,basketball,0.8895699285714284,0.0
1055152,driving,2.2780739473684215,1.0
1055152,aiming,0.7340991428571431,0.7142857142857143
1057200,basketball,0.849624,0.0
1057200,driving,2.3499226896551724,1.0
1057200,aiming,0.6249442500000001,0.59375
1059248,basketball,0.8539267142857139,0.0
1059248,driving,2.289218181818182,1.0
1059248,aiming,0.5983294782608698,0.5652173913043478
1061296,basketball,0.8009894827586208,0.0
1061296,driving,2.3395610000000007,1.0
1061296,aiming,0.6673114285714286,0.6428571428571429
1063344,basketball,0.7912419199999999,0.0
1063344,driving,2.3779814285714282,1.0
1063344,aiming,0.6884905000000001,0.6666666666666666
1065392,basketball,0.8650674137931034,0.0
1065392,driving,2.331466129032258,1.0
1065392,aiming,0.7570221935483873,0.7419354838709677
1067440,basketball,0.8629099047619045,0.0
1067440,driving,2.2695857,1.0
1067440,aiming,0.6280895945945948,0.5945945945945946
1069488,basketball,0.8543811333333333,0.0
1069488,driving,2.36280153125,1.0
1069488,aiming,0.5748177916666669,0.5416666666666666
1071536,basketball,0.8356296785714282,0.0
1071536,driving,2.3380333793103443,1.0
1071536,aiming,0.6629429393939396,0.6363636363636364
1073584,basketball,0.8308647666666668,0.0
1073584,driving,2.411171580645161,1.0
1073584,aiming,0.654653875,0.625
1075632,basketball,0.8943420833333335,0.0
1075632,driving,2.272960212121212,1.0
1075632,aiming,0.6796878571428574,0.6571428571428571
1077680,basketball,0.8812271764705878,0.0
1077680,driving,2.2308016250000002,1.0
1077680,aiming,0.5786498857142859,0.5428571428571428
1079728,basketball,0.8738183684210524,0.0
1079728,driving,2.2743105555555556,1.0
1079728,aiming,0.7439554242424241,0.7272727272727273
1081776,basketball,0.8780425609756097,0.0
1081776,driving,2.267738481481481,1.0
1081776,aiming,0.7589341290322582,0.7419354838709677
1083824,basketball,0.8614004864864865,0.0
1083824,driving,2.2274620625000003,1.0
1083824,aiming,0.5449357222222223,0.5
1085872,basketball,0.8524991249999999,0.0
1085872,driving,2.3068511923076924,1.0
1085872,aiming,0.6803338571428572,0.6571428571428571
1087920,basketball,0.8709590625,0.0
1087920,driving,2.3532542592592596,1.0
1087920,aiming,0.6508140937500001,0.625
1089968,basketball,0.8636809,0.0
1089968,driving,2.2975180555555554,1.0
1089968,aiming,0.6415676923076924,0.6153846153846154
1092016,basketball,0.8209299615384615,0.0
1092016,driving,2.3035791666666667,1.0
1092016,aiming,0.7079742187500001,0.6875
1094064,basketball,0.8583822666666666,0.0
1094064,driving,2.2602911612903225,1.0
1094064,aiming,0.7100110000000001,0.6857142857142857
1096112,basketball,0.8954850000000001,0.0
1096112,driving,2.296957310344827,1.0
1096112,aiming,0.6181709512195123,0.5853658536585366
1098160,basketball,0.8701851923076924,0.0
